

wavelength(nm), Y
1594.42, -23.5408
1594.41, -21.9485
1594.4, -20.9256
1594.39, -20.3864
1594.38, -20.3281
1594.37, -20.8036
1594.36, -21.9113
1594.35, -23.8113
1594.33, -26.8033
1594.32, -31.4384
1594.31, -35.587
1594.3, -31.1964
1594.29, -26.9441
1594.28, -24.1657
1594.27, -22.2993
1594.26, -21.0754
1594.25, -20.3938
1594.24, -20.2403
1594.23, -20.6459
1594.22, -21.6705
1594.21, -23.4197
1594.2, -26.1172
1594.19, -30.2497
1594.18, -35.4408
1594.17, -32.7394
1594.15, -27.8929
1594.14, -24.6862
1594.13, -22.5437
1594.12, -21.1411
1594.11, -20.3505
1594.1, -20.1312
1594.09, -20.4786
1594.08, -21.4103
1594.07, -22.9881
1594.06, -25.3824
1594.05, -29.0055
1594.04, -34.257
1594.03, -34.1159
1594.02, -28.7812
1594.01, -25.1133
1594, -22.7032
1593.99, -21.1495
1593.97, -20.276
1593.96, -19.9996
1593.95, -20.2744
1593.94, -21.0839
1593.93, -22.4624
1593.92, -24.5479
1593.91, -27.6883
1593.9, -32.5011
1593.89, -35.0417
1593.88, -29.6719
1593.87, -25.5157
1593.86, -22.8448
1593.85, -21.1557
1593.84, -20.2022
1593.83, -19.8506
1593.82, -20.0203
1593.81, -20.6745
1593.79, -21.8358
1593.78, -23.6219
1593.77, -26.3281
1593.76, -30.568
1593.75, -35.0463
1593.74, -30.6739
1593.73, -26.0086
1593.72, -23.065
1593.71, -21.2324
1593.7, -20.1778
1593.69, -19.7189
1593.68, -19.7512
1593.67, -20.2291
1593.66, -21.1705
1593.65, -22.6802
1593.64, -25.0114
1593.63, -28.707
1593.61, -33.9294
1593.6, -31.8809
1593.59, -26.7266
1593.58, -23.4668
1593.57, -21.4557
1593.56, -20.263
1593.55, -19.6625
1593.54, -19.5334
1593.53, -19.8268
1593.52, -20.5586
1593.51, -21.8236
1593.5, -23.8411
1593.49, -27.0716
1593.48, -32.1711
1593.47, -33.223
1593.46, -27.7884
