

wavelength(nm), Y
1579.47, -16.4538
1579.43, -15.636
1579.4, -14.9264
1579.36, -14.3082
1579.33, -13.7675
1579.29, -13.2923
1579.26, -12.8726
1579.22, -12.5002
1579.19, -12.1688
1579.16, -11.8739
1579.12, -11.6125
1579.09, -11.383
1579.05, -11.1849
1579.02, -11.0186
1578.98, -10.8845
1578.95, -10.7834
1578.91, -10.7156
1578.88, -10.6808
1578.84, -10.6784
1578.81, -10.7072
1578.77, -10.766
1578.74, -10.8536
1578.71, -10.969
1578.67, -11.1121
1578.64, -11.284
1578.6, -11.4866
1578.57, -11.7227
1578.53, -11.9959
1578.5, -12.3103
1578.46, -12.6703
1578.43, -13.0801
1578.39, -13.5442
1578.36, -14.0674
1578.32, -14.6554
1578.29, -15.3157
1578.26, -16.0591
1578.22, -16.9014
1578.19, -17.8659
1578.15, -18.9883
1578.12, -20.3234
1578.08, -21.9609
1578.05, -24.0591
1578.01, -26.9382
1577.98, -31.4239
1577.94, -41.0728
1577.91, -38.3835
1577.87, -30.2379
1577.84, -26.0585
1577.81, -23.2754
1577.77, -21.2139
1577.74, -19.5969
1577.7, -18.2817
1577.67, -17.1838
1577.63, -16.2487
1577.6, -15.4388
1577.56, -14.7277
1577.53, -14.0963
1577.49, -13.531
1577.46, -13.0218
1577.43, -12.5618
1577.39, -12.1461
1577.36, -11.7711
1577.32, -11.4343
1577.29, -11.1334
1577.25, -10.8668
1577.22, -10.6326
1577.18, -10.4294
1577.15, -10.256
1577.11, -10.1117
1577.08, -9.99638
1577.05, -9.91059
1577.01, -9.85551
1576.98, -9.83281
1576.94, -9.84439
1576.91, -9.89198
1576.87, -9.97684
1576.84, -10.0995
1576.8, -10.2595
1576.77, -10.4558
1576.73, -10.6869
1576.7, -10.9512
1576.67, -11.2477
1576.63, -11.5765
1576.6, -11.9393
1576.56, -12.3399
1576.53, -12.7846
1576.49, -13.2828
1576.46, -13.847
1576.42, -14.4936
1576.39, -15.2434
1576.35, -16.1228
1576.32, -17.1662
1576.29, -18.42
1576.25, -19.9526
1576.22, -21.8753
1576.18, -24.3943
1576.15, -27.9723
1576.11, -34.0549
1576.08, -46.9381
1576.04, -33.4998
1576.01, -27.8694
1575.98, -24.5105
1575.94, -22.1262
1575.91, -20.2828
1575.87, -18.7835
1575.84, -17.5228
1575.8, -16.4384
1575.77, -15.4907
1575.73, -14.6541
1575.7, -13.9098
1575.66, -13.244
1575.63, -12.6466
1575.6, -12.1094
1575.56, -11.6261
1575.53, -11.1917
1575.49, -10.8027
1575.46, -10.4564
1575.42, -10.1515
1575.39, -9.88736
1575.35, -9.66388
1575.32, -9.48106
1575.29, -9.33857
1575.25, -9.23544
1575.22, -9.16991
1575.18, -9.13937
1575.15, -9.14063
1575.11, -9.17026
1575.08, -9.22502
1575.04, -9.30233
1575.01, -9.40063
1574.98, -9.51973
1574.94, -9.66099
1574.91, -9.82737
1574.87, -10.0234
1574.84, -10.2551
1574.8, -10.5295
1574.77, -10.8544
1574.73, -11.2379
1574.7, -11.6879
1574.67, -12.2124
1574.63, -12.819
1574.6, -13.516
1574.56, -14.3135
1574.53, -15.2249
1574.49, -16.27
1574.46, -17.479
1574.42, -18.9002
1574.39, -20.6138
1574.36, -22.7636
1574.32, -25.6404
1574.29, -29.9785
1574.25, -38.7401
1574.22, -39.0167
1574.18, -30.0645
1574.15, -25.6721
1574.11, -22.7735
1574.08, -20.6197
1574.05, -18.9144
1574.01, -17.5098
1573.98, -16.3211
1573.94, -15.2949
1573.91, -14.3959
1573.87, -13.5995
1573.84, -12.8889
1573.8, -12.2524
1573.77, -11.6817
1573.74, -11.1713
1573.7, -10.7172
1573.67, -10.316
1573.63, -9.96456
1573.6, -9.65964
1573.56, -9.39756
1573.53, -9.17438
1573.5, -8.98618
1573.46, -8.82928
1573.43, -8.70062
1573.39, -8.59806
1573.36, -8.52047
1573.32, -8.46791
1573.29, -8.44151
1573.25, -8.44335
1573.22, -8.47615
1573.19, -8.54297
1573.15, -8.64682
1573.12, -8.79034
1573.08, -8.97559
1573.05, -9.20393
1573.01, -9.47614
1572.98, -9.79267
1572.95, -10.1541
1572.91, -10.5614
1572.88, -11.0171
1572.84, -11.5249
1572.81, -12.0911
1572.77, -12.7244
1572.74, -13.4371
1572.7, -14.2466
1572.67, -15.1744
1572.64, -16.2498
1572.6, -17.515
1572.57, -19.0335
1572.53, -20.9095
1572.5, -23.3352
1572.46, -26.7318
1572.43, -32.3534
1572.4, -45.8543
1572.36, -33.4056
1572.33, -27.2733
1572.29, -23.6849
1572.26, -21.1438
1572.22, -19.1753
1572.19, -17.5701
1572.16, -16.2189
1572.12, -15.0586
1572.09, -14.0499
1572.05, -13.1667
1572.02, -12.3909
1571.98, -11.7084
1571.95, -11.1082
1571.92, -10.5805
1571.88, -10.1168
1571.85, -9.7098
1571.81, -9.35293
1571.78, -9.04081
1571.74, -8.76919
1571.71, -8.53485
1571.67, -8.33552
1571.64, -8.16974
1571.61, -8.03657
1571.57, -7.93542
1571.54, -7.86581
1571.5, -7.82723
1571.47, -7.81907
1571.43, -7.8406
1571.4, -7.89113
1571.37, -7.97015
1571.33, -8.07753
1571.3, -8.21377
1571.26, -8.38013
1571.23, -8.57879
1571.19, -8.81285
1571.16, -9.08626
1571.13, -9.40363
1571.09, -9.76999
1571.06, -10.1906
1571.02, -10.6706
1570.99, -11.2154
1570.95, -11.8306
1570.92, -12.523
1570.89, -13.3015
1570.85, -14.179
1570.82, -15.1749
1570.78, -16.3189
1570.75, -17.658
1570.71, -19.2695
1570.68, -21.2895
1570.65, -23.9871
1570.61, -28.0175
1570.58, -35.8316
1570.54, -39.2364
1570.51, -29.1219
1570.48, -24.4072
1570.44, -21.3467
1570.41, -19.0948
1570.37, -17.3298
1570.34, -15.8942
1570.3, -14.6981
1570.27, -13.6844
1570.24, -12.8142
1570.2, -12.0592
1570.17, -11.3985
1570.13, -10.8161
1570.1, -10.3001
1570.06, -9.84091
1570.03, -9.43158
1570, -9.06663
1569.96, -8.74181
1569.93, -8.45383
1569.89, -8.20002
1569.86, -7.97827
1569.82, -7.78685
1569.79, -7.62447
1569.76, -7.49031
1569.72, -7.38406
1569.69, -7.30648
1569.65, -7.25926
1569.62, -7.24256
1569.58, -7.25824
1569.55, -7.30836
1569.52, -7.39495
1569.48, -7.51973
1569.45, -7.68385
1569.41, -7.88774
1569.38, -8.13118
1569.35, -8.4134
1569.31, -8.73348
1569.28, -9.09075
1569.24, -9.48538
1569.21, -9.91885
1569.17, -10.3946
1569.14, -10.9183
1569.11, -11.4988
1569.07, -12.1486
1569.04, -12.8846
1569, -13.7298
1568.97, -14.7152
1568.94, -15.8843
1568.9, -17.301
1568.87, -19.0671
1568.83, -21.3644
1568.8, -24.5768
1568.76, -29.7867
1568.73, -42.2951
1568.7, -32.7824
1568.66, -26.1451
1568.63, -22.4325
1568.59, -19.8717
1568.56, -17.9291
1568.52, -16.3729
1568.49, -15.0818
1568.46, -13.9845
1568.42, -13.0358
1568.39, -12.2055
1568.35, -11.4725
1568.32, -10.8217
